Question,Low Anchor,High Anchor,True value
"Does Wiesbaden have more or fewer than 1,000,000 inhabitants?",100000,1000000,"278,609"
What is the population of Wiesbaden?,,,
Is the maximum speed of a greyhound above or below 100 km/h?,30km/hr,100km/hr,80km/hr
What´s the maximum speed of a greyhound (in km/h)?,,,
"Is the Rhine longer or shorter than 2,000 km?",500km,2000km,1233km/hr
What is the total length of the Rhine?,,,
Were more or fewer than 800 babies born per day in Germany in 2020?,800,8000,2112
What´s the average number of babies born per day in Germany (in 2020)?,,,
Did Germans consume more or less than 40 liters of beer per capita in 2020?,40l/person,110l/person,94.6l/person
How much beer did Germans consume per capita in 2020? (in liters),,,
Was the telephone invented before or after 1850?,1850,1920,1861
In what year was the telephone invented?,,,
In which year was the World Trade Center opened?,,2001,1973
What is the lowest body temperature of a living person ever measured?,,,
How many people lived in the German Reich in 1880?,,83000000,45000000
What is the freezing point of mercury in degree celcius?,,0°C (Freezing point of water),"- 38,9 °C"
How long does Mars take to orbit the sun?,365 days,,687
How many member states did the EU have in 1995?,,27,15
